ano,mes,classe_orcamentaria,subclasse,equipamento,centro_custo,valor
2025,Abr,Operacional,Assessoria Jurídica,GERAL,CC-422,7500
2025,Mai,Operacional,Assessoria Jurídica,GERAL,CC-422,7500
2025,Jun,Operacional,Assessoria Jurídica,GERAL,CC-422,7500
2025,Jul,Operacional,Assessoria Jurídica,GERAL,CC-422,7500
2025,Ago,Operacional,Assessoria Jurídica,GERAL,CC-422,7500
2025,Set,Operacional,Assessoria Jurídica,GERAL,CC-422,8350
2025,Out,Operacional,Assessoria Jurídica,GERAL,CC-422,7594.44
2025,Nov,Operacional,Assessoria Jurídica,GERAL,CC-422,7594.44
2025,Dez,Operacional,Assessoria Jurídica,GERAL,CC-422,7594.44
2025,Jul,Outros,BRINDES, DONATIVOS / PATROCINIO,GERAL,CC-422,70.76
2025,Set,Outros,BRINDES, DONATIVOS / PATROCINIO,GERAL,CC-422,100
2025,Out,Outros,BRINDES, DONATIVOS / PATROCINIO,GERAL,CC-422,18.97
2025,Nov,Outros,BRINDES, DONATIVOS / PATROCINIO,GERAL,CC-422,18.97
2025,Dez,Outros,BRINDES, DONATIVOS / PATROCINIO,GERAL,CC-422,18.97
2025,Jan,Operacional,Seguros,GERAL,CC-422,1488.52
2025,Fev,Operacional,Seguros,GERAL,CC-422,1488.52
2025,Mar,Operacional,Seguros,GERAL,CC-422,1488.52
2025,Abr,Operacional,Seguros,GERAL,CC-422,1488.52
2025,Mai,Operacional,Seguros,GERAL,CC-422,1528.84
2025,Jun,Operacional,Seguros,GERAL,CC-422,1796.24
2025,Jul,Operacional,Seguros,GERAL,CC-422,1618.86
2025,Ago,Operacional,Seguros,GERAL,CC-422,1618.86
2025,Set,Operacional,Seguros,GERAL,CC-422,1618.86
2025,Out,Operacional,Seguros,GERAL,CC-422,1570.64
2025,Nov,Operacional,Seguros,GERAL,CC-422,1570.64
2025,Dez,Operacional,Seguros,GERAL,CC-422,1570.64
2025,Set,Outros,FERRAM E UTENS P/ AMBULATORIO-LABORATORI,GERAL,CC-422,300
2025,Out,Outros,FERRAM E UTENS P/ AMBULATORIO-LABORATORI,GERAL,CC-422,33.33
2025,Nov,Outros,FERRAM E UTENS P/ AMBULATORIO-LABORATORI,GERAL,CC-422,33.33
2025,Dez,Outros,FERRAM E UTENS P/ AMBULATORIO-LABORATORI,GERAL,CC-422,33.33
2025,Jan,Operacional,Móveis e Utensílios,GERAL,CC-422,614.74
2025,Fev,Operacional,Móveis e Utensílios,GERAL,CC-422,326.5
2025,Mar,Operacional,Móveis e Utensílios,GERAL,CC-422,504.6
2025,Abr,Operacional,Móveis e Utensílios,GERAL,CC-422,749.45
2025,Mai,Operacional,Móveis e Utensílios,GERAL,CC-422,5089.53
2025,Jul,Operacional,Móveis e Utensílios,GERAL,CC-422,6.8
2025,Ago,Operacional,Móveis e Utensílios,GERAL,CC-422,219.67
2025,Set,Operacional,Móveis e Utensílios,GERAL,CC-422,15.34
2025,Out,Operacional,Móveis e Utensílios,GERAL,CC-422,836.29
2025,Nov,Operacional,Móveis e Utensílios,GERAL,CC-422,836.29
2025,Dez,Operacional,Móveis e Utensílios,GERAL,CC-422,836.29
2025,Jan,Operacional,Equipamentos de Segurança,GERAL,CC-422,8.72
2025,Fev,Operacional,Equipamentos de Segurança,GERAL,CC-422,95.75
