data,equipamento,produto,quantidade,valorUnitario,valorTotal,fornecedor
2025-08-14 00:00:00,PC-08,"SERVICOS DE MANUTENCAO EM MAQU",1,13228.01,13228.01,"SOTREQ S/A"
2025-07-10 00:00:00,PC-08,"SERVICOS DE MANUTENCAO EM MAQU",1,13228,13228,"SOTREQ S/A"
2025-07-11 00:00:00,PC-09,"SERVICOS DE MANUTENCAO EM MAQU",1,13228,13228,"SOTREQ S/A"
2025-03-13 00:00:00,PC-08,"SERVICOS DE MANUTENCAO EM MAQU",1,13179.49,13179.49,"SOTREQ S/A"
2025-04-03 00:00:00,PC-09,"SERVICOS DE MANUTENCAO EM MAQU",1,13179.49,13179.49,"SOTREQ S/A"
2025-03-19 00:00:00,EH-16,"DENTE CAT 5976033",4,3254.8325,13019.33,"ALVARO.ISAQUE"
2025-03-14 00:00:00,EH-17,"DENTE CAT 5976033",4,3254.8325,13019.33,"LUIZ.SANTOS"
2025-04-09 00:00:00,TE-06,"SERVICOS DE MANUTENCAO EM MAQU",1,13000,13000,"CONEXAO NEGOCIOS - TURBINAS E SISTEMA HIDRAULICO E"
2025-06-02 00:00:00,TE-08,"SERVICOS DE MANUTENCAO EM MAQU",1,12980.31,12980.31,"SOTREQ S/A"
2025-10-07 00:00:00,PC-01,"CONJUNTO COLMEIA CAT 398-3232",1,12960,12960,"RADIAL SERVICE LTDA"
2025-10-17 00:00:00,PC-08,"SERVICOS DE MANUTENCAO EM MAQU",1,12936.89,12936.89,"SOTREQ S/A"
2025-08-20 00:00:00,TE-03,"SERVICOS DE MANUTENCAO EM MAQU",1,12894.29,12894.29,"SOTREQ S/A"
2025-07-10 00:00:00,TE-03,"SERVICOS DE MANUTENCAO EM MAQU",1,12894.28,12894.28,"SOTREQ S/A"
2025-08-01 00:00:00,TE-04,"SERVICOS DE MANUTENCAO EM MAQU",1,12894.27,12894.27,"SOTREQ S/A"
2025-05-22 00:00:00,BM-01,"ROLETE DA ESTEIRA DO BRITADOR",4,3220,12880,"AMERICA PECAS LTDA"
2025-05-20 00:00:00,VL-105,"TAXA SERVICO",1,12873.04,12873.04,"KINTO BRASIL SERVICOS DE MOBILIDADE LTDA."
2025-09-17 00:00:00,TE-08,"SERVICOS DE MANUTENCAO EM MAQU",1,12859.5,12859.5,"SOTREQ S/A"
2025-04-03 00:00:00,TE-08,"SERVICOS DE MANUTENCAO EM MAQU",1,12841.4,12841.4,"SOTREQ S/A"
2025-07-14 00:00:00,TE-08,"SERVICOS DE MANUTENCAO EM MAQU",1,12841.4,12841.4,"SOTREQ S/A"
2025-08-19 00:00:00,PV-01,"SERVICOS DE MANUTENCAO EM MAQU",225,57,12825,"VULCANIZACAO BARRO ALTO LTDA"
2025-02-03 00:00:00,PV-01,"CORREIA TRANSPORTADORA 46",26,491.57846153846157,12781.04,"LUIZ.SANTOS"
2025-05-13 00:00:00,CB-04,"SERVICOS DE RECAPAGEM E REFORM",13,971.7692307692307,12633,"NACIONAL REFORMADORA DE PNEUS LTDA"
2025-02-11 00:00:00,EH-12,"SERVICOS DE MANUTENCAO EM MAQU",1,12470.61,12470.61,"SOTREQ S/A"
2025-09-24 00:00:00,CB-16,"SERVICO DE RECAPAGEM",11,1132.56,12458.16,"NACIONAL REFORMADORA DE PNEUS LTDA"
2025-06-23 00:00:00,PC-08,"TURBO COMPRESSOR 4340576",1,12402,12402,"CONEXAO NEGOCIOS - TURBINAS E SISTEMA HIDRAULICO E"
2025-02-07 00:00:00,TE-08,"SERVICOS DE MANUTENCAO EM MAQU",1,12366.98,12366.98,"SOTREQ S/A"
2025-01-16 00:00:00,TE-03,"SERVICOS DE MANUTENCAO EM MAQU",1,12323.83,12323.83,"SOTREQ S/A"
2025-05-26 00:00:00,CB-19,"SERVICOS DE MANUTENCAO EM MAQU",1,12251.25,12251.25,"28.556.011 JONES SANTIAGO SOUZA LOIOLA"
2025-03-14 00:00:00,TE-02,"SERVICOS DE MANUTENCAO EM MAQU",3,4083.75,12251.25,"MAISA LUANA RIBEIRO DE CARVALHO"
2025-07-07 00:00:00,PC-02,"SERVICOS DE MANUTENCAO EM MAQU",1,12210.52,12210.52,"SOTREQ S/A"
